21,0,14,59,43,213,231,438,169,0,0,18,0,0,0,29,82,146,189,354,19,101,149,214,151,120,110,149,0,0,0,1076,1181,1159,1186,591,0,0,239,488,618,9297,573,516,497,433,404,342,262,174,44,0,0,0,0,0,15,841,234,166,145,122,82,54
0,0,27,85,95,466,248,239,0,0,0,0,0,0,0,31,73,130,153,197,12,37,0,209,445,666,890,1231,1406,1645,1875,2094,1251,1097,567,0,0,0,501,676,653,8618,553,504,473,410,381,343,286,172,59,0,0,0,0,0,0,647,253,140,115,82,52,18
19,0,22,85,114,684,209,171,15,0,0,0,0,0,0,25,51,137,91,65,0,5,0,135,190,216,240,252,288,322,367,367,381,414,0,0,407,745,989,723,605,7953,527,458,416,371,345,321,295,221,102,0,0,0,0,0,0,453,291,96,86,55,16,0
78,54,69,110,134,927,213,156,47,30,0,0,0,35,23,0,12,61,0,0,32,90,158,235,191,189,193,200,229,249,328,291,307,170,0,523,803,569,393,369,452,7308,534,444,366,333,301,311,319,283,168,0,0,0,0,0,0,263,431,66,39,17,0,19
95,107,121,151,158,1177,223,165,87,62,19,0,62,107,44,17,0,10,0,0,0,9,31,52,86,110,130,156,175,204,365,205,118,0,953,985,494,278,169,286,449,6747,551,484,371,316,245,230,268,330,300,0,0,0,0,0,0,0,344,43,15,0,12,52
133,141,181,195,208,2620,1253,1086,789,596,338,0,197,152,134,66,9,0,0,0,0,13,0,18,54,65,92,114,131,172,217,0,0,0,921,0,0,0,0,350,564,6208,513,471,381,300,192,134,161,279,547,143,0,0,0,0,33,107,272,18,0,18,45,93
158,170,221,241,250,2804,0,131,169,310,593,561,497,236,91,0,0,0,0,0,54,67,17,0,20,23,49,68,105,157,193,212,368,535,889,0,0,0,354,691,696,5617,484,477,432,339,178,16,0,0,340,198,0,0,0,0,39,55,69,0,14,48,69,100
176,202,237,263,277,2997,0,0,0,0,0,0,0,0,0,0,0,0,0,81,143,88,56,17,0,0,0,40,84,103,128,166,196,226,290,0,0,331,656,601,606,4990,448,439,448,441,303,0,0,0,189,355,323,124,0,0,0,15,11,18,38,79,111,141
217,263,281,312,312,3208,1654,0,0,0,0,0,0,0,0,0,0,0,130,211,173,117,80,42,7,0,0,28,55,77,116,143,168,201,235,260,437,618,507,479,478,4400,403,371,369,461,576,354,0,0,0,0,135,227,0,0,10,42,54,69,85,123,154,194
241,276,312,353,349,1778,2628,1336,0,0,0,0,0,0,0,0,783,719,687,390,211,140,108,73,43,12,0,10,14,39,71,105,134,158,199,225,259,298,369,438,437,3911,381,329,261,260,340,662,0,0,0,0,0,195,81,23,19,58,93,119,119,155,178,220
